domain,method,n_users,HR@5,NDCG@5,HR@10,NDCG@10,HR@20,NDCG@20,MRR
beauty,proex_profile,973,0.1644398766700925,0.12255364385251012,0.2528263103802672,0.15058877178954558,0.3854059609455293,0.18373677698660923,0.1429360032242356
beauty,C-CRP_v3_ours,973,0.15724563206577596,0.11094940895853836,0.22918807810894143,0.13405198045497876,0.36896197327852004,0.16904232193814442,0.12762667992425564
beauty,irllrec_intent,973,0.15210688591983557,0.10744899647597837,0.2199383350462487,0.1288309008301226,0.3432682425488181,0.15970965973044962,0.1239693523674802
beauty,promax_profile,973,0.1510791366906475,0.10660419682329204,0.21377183967112023,0.12697982674890387,0.31243576567317577,0.15178476599365484,0.12177938978510666
beauty,rlmrec_graphcl,973,0.13874614594039056,0.10577111394795764,0.197327852004111,0.12463177728554392,0.31243576567317577,0.1532363733700933,0.12489220978042684
beauty,llmemb,973,0.13771839671120248,0.09043707758658753,0.23843782117163412,0.12259360010805838,0.3597122302158273,0.1529104901084582,0.11034064073898667
beauty,llmesr_sasrec,973,0.12127440904419322,0.07717137854524309,0.2065775950668037,0.10433955769746672,0.33504624871531347,0.13639660216760074,0.09685107695177135
beauty,elmrec_graph,973,0.08530318602261049,0.060027758599836036,0.14388489208633093,0.0789458768007444,0.23227132579650564,0.10104580780312636,0.08087096097942494
beauty,llm2rec_sasrec,973,0.06166495375128469,0.03800056719708648,0.10380267214799589,0.05164156238269869,0.20863309352517986,0.07794262973980275,0.05839958239135137
books,C-CRP_v3_ours,10000,0.3736,0.2999490429408034,0.4758,0.33280196207428,0.5915,0.36193003945072244,0.3063331264890853
books,llmemb,10000,0.3345,0.22933734791243032,0.4722,0.27365830143129205,0.6308,0.3137182283232155,0.23315127723109644
books,llm2rec_sasrec,10000,0.2624,0.1880621198363804,0.372,0.2233606175362847,0.505,0.2568546522244394,0.1984283881170138
books,irllrec_intent,10000,0.1796,0.12681219452270753,0.3055,0.16647261783939768,0.5767,0.23495162230429043,0.15498261038478378
books,rlmrec_graphcl,10000,0.1524,0.10475359484548603,0.2319,0.13018491997482762,0.4345,0.18068677686626267,0.12704620597308397
books,proex_profile,10000,0.1525,0.09658709941937896,0.2568,0.1300739103802206,0.3944,0.1646983930139706,0.11449217924327622
books,promax_profile,10000,0.1139,0.07964268024253457,0.1713,0.09799965974136728,0.2656,0.12158727114270466,0.09712515933858547
books,llmesr_sasrec,10000,0.0827,0.05147863461477749,0.1479,0.07232903822069997,0.2491,0.0975550678937354,0.07319122889177893
books,elmrec_graph,10000,0.0569,0.035645211935309715,0.1092,0.05226230203924606,0.2107,0.07763542474316941,0.057848368717772915
electronics,C-CRP_v3_ours,10000,0.218,0.15712993900258593,0.2993,0.1832855407620405,0.4178,0.21307715350709897,0.16832887776052635
electronics,llmemb,10000,0.1395,0.08589392059209101,0.245,0.11963436550635798,0.4003,0.15856064009986215,0.10670180861224174
electronics,irllrec_intent,10000,0.1209,0.07808053401954024,0.1883,0.09967863323931107,0.3173,0.13160845194681103,0.0974896921563684
electronics,rlmrec_graphcl,10000,0.0971,0.061276492375174664,0.1612,0.08179650381575532,0.2715,0.10927843998947341,0.08130757592914226
electronics,llmesr_sasrec,10000,0.0772,0.04680497765524861,0.1426,0.06777086223524523,0.2503,0.09477806931823449,0.06831887091688206
electronics,proex_profile,10000,0.0707,0.043982348486750734,0.1305,0.06314964103459302,0.2518,0.09330391384308169,0.0665202465590088
electronics,promax_profile,10000,0.0731,0.04594763000344337,0.1232,0.06194290320647717,0.2202,0.08619493133421724,0.06567744160427601
electronics,llm2rec_sasrec,10000,0.0603,0.03503842876519825,0.1172,0.053195003995481806,0.233,0.0821430681274433,0.05806328152497213
electronics,elmrec_graph,10000,0.0556,0.03310892904802264,0.105,0.048883816665080584,0.2045,0.07380664015167782,0.054736411078705166
movies,llmemb,10000,0.1986,0.1257375965322765,0.3336,0.16896032141625786,0.5151,0.21466919146932387,0.14432029059785623
movies,llm2rec_sasrec,10000,0.1745,0.11664695656027041,0.2669,0.146401381714209,0.3938,0.1781365903302123,0.1323640136345991
movies,irllrec_intent,10000,0.164,0.10798277126170337,0.263,0.13974962164442645,0.4555,0.1878089581911455,0.12948592779699106
movies,rlmrec_graphcl,10000,0.1529,0.09800259760316343,0.2471,0.128312261537353,0.3765,0.16089240525231843,0.11577678102420677
movies,C-CRP_v3_ours,10000,0.1447,0.10765826125645794,0.2083,0.12812717180077174,0.3306,0.15870858810297278,0.1270954817375341
movies,proex_profile,10000,0.1461,0.09377638378370406,0.245,0.12539485298091516,0.384,0.16031961696838792,0.1123046279511156
movies,promax_profile,10000,0.1403,0.0928623778936138,0.2184,0.11792803662733405,0.3331,0.146679053834251,0.10912910822417955
movies,llmesr_sasrec,10000,0.0828,0.04923222952380893,0.1617,0.07454774534335061,0.3054,0.11062537903424007,0.07306104221999506
movies,elmrec_graph,10000,0.0748,0.045667693652349614,0.1408,0.06672835735181647,0.2549,0.09532250568941311,0.06784761376538234
