id,claim,category,status,evidence_location,allowed_wording,forbidden_wording,notes
C1,"C-CRP v3 ranks first against eight official-code-level baselines on Sports, Toys, Home, and Tools under 10k-user/101-candidate same-candidate evaluation, with all per-domain paired Holm tests positive and significant.",performance,SUPPORTED,outputs\summary\paper_critical\cross_domain_official_ccrp_certificate_audit_post_ccrp_backfill_20260606_0255.json,C-CRP v3 ranks first in the four tested same-candidate new-domain certificates against eight official-code-level baselines.,full-catalog SOTA; universal recommender SOTA; paper-ready SOTA without scoped modules and manuscript review,"On Sports, Toys, Home, and Tools 10k-user/101-candidate same-candidate domains, C-CRP v3 ranks first against eight official-code-level baselines, with all 56 per-domain C-CRP-vs-official metric tests positive and Holm-significant."
C2,"The main comparison ledger contains 32 official baseline rows and 4 C-CRP rows with complete full-metric, row-count, score-coverage, provenance, and local/server evidence checks.",protocol,SUPPORTED,outputs\summary\paper_critical\new_domains_paper_facing_full_metric_evidence_ledger_post_ccrp_backfill_20260606_0255.json,The paper-facing ledger is complete for the declared four-domain same-candidate comparison.,treating the ledger alone as a whole-paper readiness verdict,row_count=36; official_row_count=32; ccrp_row_count=4
C3,"C-CRP event-level uncertainty stratifies ranking reliability: high-uncertainty bins have lower NDCG@10, MRR, and HR@10 than low-uncertainty bins in all four domains.",qualitative,SUPPORTED,outputs\summary\paper_critical\ccrp_signal_generation_plan_post_performance_gate_20260606\observation_four_domain\observation_four_domain_provenance.json,Use as descriptive motivation evidence that C-CRP uncertainty stratifies same-candidate ranking reliability.,causal uncertainty effect; statistically significant bin effect; exhaustive baseline calibration evidence,claim_status=uncertainty_stratifies_reliability; table_eligibility=motivation_only_not_main_table_sota
C4,"The four-domain component ablation is package-ready and supports a diagnostic discussion of weak, redundant, or mixed C-CRP components.",ablation,SUPPORTED,outputs\summary\paper_critical\ccrp_signal_generation_plan_post_performance_gate_20260606\ccrp_component_ablation_four_domain\component_ablation_four_domain_provenance.json,"Report leave-one-component-out diagnostics; several components are neutral, weak, redundant, or mixed.",every component is necessary; every uncertainty term improves performance; component effects are statistically significant,"nonworse_or_redundant_components=without_boundary_uncertainty,without_counterevidence,without_risk_penalty"
C5,Every nontrivial C-CRP component is necessary for the observed gains.,ablation,CONTRADICTED,outputs\summary\paper_critical\ccrp_signal_generation_plan_post_performance_gate_20260606\ccrp_component_ablation_four_domain\component_ablation_four_domain_component_summary.csv,Do not make this claim.,necessary; essential; each component contributes; removing any component hurts,Positive or neutral removal deltas directly contradict a strong necessity claim.
C6,The hyperparameter module supports NDCG@10 stability/sensitivity for eta and the uncertainty weight grid across four domains under validation-only selection and reporting-only test sweeps.,hyperparameter,SUPPORTED,outputs\summary\paper_critical\ccrp_signal_generation_plan_post_performance_gate_20260606\ccrp_hyperparameter_four_domain\ccrp_hyperparameter_four_domain_provenance.json,Eta and weight-grid choices are stable within the preregistered tolerance on NDCG@10 across the four domains.,all-metric robustness; universal optimum; test-selected tuning; main-table SOTA evidence,"controls=eta,weight_grid_label; metric=NDCG@10"
C7,A positive risk exponent or risk penalty is necessary or uniformly beneficial.,hyperparameter,CONTRADICTED,outputs\summary\paper_critical\ccrp_signal_generation_plan_post_performance_gate_20260606\ccrp_hyperparameter_four_domain\ccrp_hyperparameter_four_domain_stability_rows.csv,Do not claim risk-penalty necessity; discuss eta as stable/sensitivity-only.,eta must be positive; risk penalty is necessary; risk penalty uniformly improves,"eta_test_best_zero_domains=home,sports,tools,toys"
C8,The framework overview figure is ready to describe the controlled same-candidate pipeline and evidence gates.,method,SUPPORTED,outputs\summary\paper_critical\framework_overview\framework_overview_provenance.json,Use the figure to explain the pipeline and where uncertainty/calibration/risk-adjusted ranking enter.,"using the figure as evidence that observation, ablation, or hyperparameter modules are complete",claim_boundary=controlled_same_candidate_ranking_not_full_catalog
C9,The project is submission-ready now.,submission,UNSUPPORTED,manuscript/bibliography discovery,Evidence is ready for strict paper drafting and subsequent manuscript-level claim/citation review.,submission-ready; final READY; cleared for camera-ready,citation_status=READY_FOR_MANUSCRIPT_AND_BIBTEX_AUDIT
C10,The method is a full-catalog or universal recommender SOTA system.,generality,UNSUPPORTED,outputs\summary\paper_critical\cross_domain_official_ccrp_certificate_audit_post_ccrp_backfill_20260606_0255.json,Controlled same-candidate ranking/reranking reliability under the tested protocol.,full-catalog SOTA; universal cross-domain winner beyond tested same-candidate domains,The certificate explicitly excludes full-catalog and universal SOTA claims.
